years_of_experience,functional_competency_score,top1_skills_score,top2_skills_score,top3_skills_score,behavior_competency_score,top1_behavior_skill_score,top2_behavior_skill_score,top3_behavior_skill_score,call_for_interview
0.3333333333333333,0.7494977777777777,0.7777777777777778,0.7,0.8,0.7692307692307692,0.9316893589492193,0.6620421671026925,0.7524629947278958,1
0.13333333333333333,0.49063777777777773,0.7777777777777778,0.3,0.4,0.15384615384615385,0.35209274258800827,0.13223060512485665,0.31690547767075233,0
0.0,0.46025555555555564,0.4444444444444444,0.3,0.3,0.051282051282051266,0.052347023055598935,0.08976500351395272,0.2548591532018843,0
0.0,0.5073466666666666,0.5555555555555556,0.4,0.5,0.3846153846153846,0.3099132209261845,0.28975763597376253,0.4407843220089391,0
0.4,0.6620199999999999,0.6666666666666666,0.7,0.5,0.46153846153846145,0.4979287376972561,0.3975442195680384,0.3927595251377358,1
0.8,0.5851577777777778,1.0,0.8,0.8,0.8717948717948718,0.7592000031095578,0.8211514248169322,0.7219940761640676,1
0.3333333333333333,0.6919466666666666,0.8888888888888888,0.6,0.5,0.46153846153846145,0.4955875532008962,0.5847196152401011,0.4405086023766746,1
0.0,0.4778866666666667,0.3333333333333333,0.5,0.5,0.5128205128205128,0.36508722331734744,0.48169206957681526,0.3307799312509018,0
0.26666666666666666,0.6627355555555555,0.8888888888888888,0.7,0.6,0.5384615384615384,0.48205955074693463,0.6011240413008371,0.6478866708970547,1
0.06666666666666667,0.4928755555555557,0.8888888888888888,0.3,0.4,0.20512820512820507,0.39000316284137004,0.34540713638218545,0.3339499533257469,0
0.06666666666666667,0.5465355555555556,0.2222222222222222,0.1,0.2,0.1282051282051282,0.2743975699309086,0.3415338072876173,0.12127823250170398,0
0.0,0.5014777777777778,0.3333333333333333,0.4,0.6,0.23076923076923073,0.4092709221450642,0.38121311921485646,0.2518247781065803,0
0.0,0.5912088888888889,0.6666666666666666,0.5,0.6,0.23076923076923073,0.38234448475366284,0.20409720464856435,0.19566805574323173,0
0.2,0.4578377777777777,0.6666666666666666,0.5,0.5,0.2564102564102564,0.2804287222975328,0.2781462228078713,0.182321341976671,1
0.2,0.3451977777777777,0.6666666666666666,0.4,0.4,0.3076923076923077,0.3313459842425246,0.14264162418011034,0.09805071408043795,0
0.0,0.5770466666666666,0.3333333333333333,0.5,0.4,0.33333333333333326,0.3904959128055563,0.45815715381273076,0.3468389003949637,1
0.0,0.47930888888888895,0.6666666666666666,0.3,0.4,0.28205128205128205,0.23810701721082303,0.3043219527648274,0.2737381485591716,0
0.4666666666666667,0.9071,1.0,0.7,0.8,0.9743589743589742,0.9405359916029549,0.871867777385875,1.0,1
0.8,0.7265755555555555,1.0,0.8,0.7,0.9487179487179487,0.8005883888650956,0.7501636230418758,0.8794842445928561,1
0.8666666666666667,0.6956355555555557,1.0,1.0,0.9,0.7692307692307692,0.7677042284788893,0.6326500013944611,0.6722151213618119,1
0.4,0.2222222222222222,0.8888888888888888,0.5,0.5,0.5384615384615384,0.28266165276906946,0.16663634308727687,0.26413472147535383,1
0.2,0.41524000000000005,0.6666666666666666,0.3,0.5,0.23076923076923073,0.32346476372773647,0.16889787896778474,0.2969335070243106,0
0.0,0.4727644444444443,0.4444444444444444,0.4,0.5,0.20512820512820507,0.19937171207448734,0.28417741794301926,0.03883285220398403,0
0.13333333333333333,0.4206577777777778,0.6666666666666666,0.6,0.3,0.17948717948717952,0.3509152898390613,0.2180261417858227,0.08146000985741984,0
0.26666666666666666,0.66708,0.8888888888888888,0.5,0.5,0.5641025641025641,0.5022055767190323,0.5843677540215368,0.4108411128146577,1
0.4666666666666667,0.0,1.0,0.7,0.6,0.5128205128205128,0.3589738763368032,0.1587175718588811,0.20401273297634856,1
0.26666666666666666,0.7295400000000001,0.8888888888888888,0.7,0.5,0.641025641025641,0.5754993093834474,0.5626874127174583,0.7160477393602521,1
0.0,0.46404888888888896,0.4444444444444444,0.5,0.3,0.3846153846153846,0.3363412642395692,0.23917698242821864,0.47012650046605936,0
0.0,0.5799555555555556,0.5555555555555556,0.4,0.3,0.23076923076923073,0.2930955169170575,0.3488837535358966,0.13336223589363455,0
0.26666666666666666,0.7272488888888888,0.8888888888888888,0.7,0.6,0.6153846153846153,0.7297783369211467,0.6889450234735901,0.6195573211617558,1
0.0,0.7230399999999999,0.5555555555555556,0.3,0.3,0.5128205128205128,0.5829313717902763,0.4590381774495794,0.6476583019146729,1
0.0,0.5286644444444444,0.7777777777777778,0.6,0.6,0.17948717948717952,0.2970979408109628,0.2650329913361968,0.10364578406502839,1
0.4666666666666667,0.1111111111111111,1.0,0.7,0.8,0.8205128205128205,0.5941322117818908,0.3824779116975197,0.5416030061179538,1
0.2,0.5326844444444445,0.3333333333333333,0.1,0.2,0.0,0.023633077360089266,0.0,0.15154242266665438,0
0.26666666666666666,0.6611577777777778,0.6666666666666666,0.7,0.5,0.5897435897435896,0.5500491087911904,0.5519861367842599,0.42626839576270376,0
0.6666666666666666,0.8160488888888887,1.0,1.0,0.7,0.8717948717948718,0.8315063521863455,0.7987548971588296,0.793434744092609,1
0.4666666666666667,0.7716600000000001,1.0,1.0,1.0,0.6666666666666665,0.6539485536906342,0.56390947290328,0.6112162637934677,1
0.3333333333333333,0.6566555555555555,0.7777777777777778,0.8,0.8,0.6923076923076923,0.7616526970959802,0.5101661334773316,0.6237195384393833,1
0.13333333333333333,0.5316866666666668,0.3333333333333333,0.2,0.2,0.28205128205128205,0.4150911409559832,0.19137009563301854,0.4208858758257361,0
0.2,1.0,0.7777777777777778,0.4,0.5,0.23076923076923073,0.5182906578873019,0.6330422791757669,0.5697049692815336,1
0.13333333333333333,0.5841288888888889,0.7777777777777778,0.6,0.0,0.23076923076923073,0.4334681108362834,0.4029495402173807,0.38179332944279415,1
0.4666666666666667,0.1111111111111111,1.0,1.0,1.0,0.9230769230769229,0.45438254133057754,0.4333553562083247,0.45129456817675134,1
0.2,0.59606,0.7777777777777778,0.3,0.3,0.17948717948717952,0.34798120765824997,0.22222259814609202,0.2655720693383747,1
0.4,0.6149044444444445,0.8888888888888888,0.7,0.5,0.5128205128205128,0.4518941421466383,0.5155341777663163,0.40307538716982755,1
0.3333333333333333,0.6622666666666667,0.7777777777777778,0.7,0.5,0.5641025641025641,0.6893983815321207,0.4591410598165959,0.3888313155708817,1
0.0,0.4047266666666666,0.6666666666666666,0.6,0.4,0.23076923076923073,0.3027602460242939,0.23928998391023734,0.0,0
0.4,0.6723977777777778,0.8888888888888888,0.5,0.6,0.5641025641025641,0.696183777147151,0.5129997719517205,0.5341959250227196,1
0.0,0.47831999999999986,0.3333333333333333,0.0,0.2,0.3589743589743589,0.2580951080129733,0.41334851992167204,0.43034036250478686,0
0.4666666666666667,0.7078355555555557,1.0,0.8,0.7,0.8974358974358974,0.8281325919692419,0.7569275264878804,0.8864006646392227,1
0.26666666666666666,0.6166244444444444,0.8888888888888888,0.8,0.7,0.4871794871794871,0.5258198567090503,0.5365578688395444,0.48957138559599417,1
0.4,0.5510755555555554,0.7777777777777778,0.7,0.7,0.5897435897435896,0.5923415646993996,0.5808998184483845,0.42397000259030215,1
0.4,0.6018466666666665,0.8888888888888888,0.7,0.7,0.6666666666666665,0.7567705033324028,0.515158874694726,0.48542770770072674,1
0.6,0.7499044444444443,1.0,0.7,0.8,0.9743589743589742,0.9373928350116472,0.8150826194822387,0.8596466412829895,1
0.26666666666666666,0.5201600000000001,0.7777777777777778,0.5,0.5,0.641025641025641,0.4930238468692536,0.5969697200264087,0.6112476690883594,1
0.3333333333333333,0.5515977777777777,0.8888888888888888,0.5,0.5,0.5897435897435896,0.6489851792140575,0.4873915756602398,0.4012783081222341,1
0.4,0.6002666666666667,0.7777777777777778,0.7,0.7,0.5641025641025641,0.6174363224184299,0.5219646269528625,0.44465076998443015,1
0.0,0.4444444444444444,0.2222222222222222,0.1,0.3,0.07692307692307693,0.19167041877012464,0.2795515025720427,0.08290022002891408,0
0.0,0.41770444444444443,0.3333333333333333,0.2,0.2,0.3589743589743589,0.48335282647738614,0.25035150051369043,0.35682157563117717,0
0.0,0.5746644444444444,0.4444444444444444,0.2,0.4,0.33333333333333326,0.29152524914227473,0.4357259368277639,0.2073559247138294,0
0.26666666666666666,1.0,1.0,0.5,0.7,0.7179487179487178,0.8422633800930385,0.7930824954702299,0.7474460261314022,1
0.4666666666666667,0.6818866666666668,1.0,1.0,0.8,0.7179487179487178,0.6426958145230608,0.6868676963572034,0.5838488880700722,1
0.4666666666666667,0.8614755555555555,1.0,0.7,0.8,0.8717948717948718,0.8578077794742831,0.7176317949062283,0.856380676867012,1
0.0,0.39332444444444437,0.5555555555555556,0.5,0.2,0.3076923076923077,0.38631533651811834,0.3760067728871556,0.086535347929875,0
0.0,0.499108888888889,0.6666666666666666,0.4,0.5,0.2564102564102564,0.2326900505257423,0.12051571414263314,0.2203824980595123,1
0.8,0.6495977777777777,1.0,1.0,1.0,0.7435897435897436,0.7605921371214824,0.7613279110262298,0.5863667930882508,1
0.0,0.472088888888889,0.5555555555555556,0.5,0.1,0.23076923076923073,0.442612818594022,0.24086896575296704,0.09002437650366392,0
0.3333333333333333,0.5959,0.6666666666666666,0.7,0.8,0.5384615384615384,0.5796961551525868,0.5741648233619954,0.40413198527830063,1
0.13333333333333333,0.5607266666666667,0.4444444444444444,0.2,0.3,0.3589743589743589,0.4625004341682594,0.35658011035130976,0.4103660834827993,0
0.3333333333333333,0.6146844444444444,1.0,0.6,0.6,0.6666666666666665,0.6261607653027698,0.5049537040535126,0.52780676420005,1
